0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:55:55 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:56:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7189
0:0:0:0:0:0:0:1 - - [16/Jan/2021:13:58:55 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7184
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:00:15 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:01:39 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:02:04 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:02:22 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:04:12 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7221
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:14:28 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7479
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:15:18 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7494
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:16:27 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:16:38 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:16:59 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7493
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:17:48 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7480
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:18:57 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7497
0:0:0:0:0:0:0:1 - - [16/Jan/2021:14:19:20 -0800] "GET /PortfollioSite/Index.jsp HTTP/1.1" 200 7513
